,state,long,lat
0,nevada,-115.260232,36.2931653
1,nevada,-115.2602166,36.2931303
2,nevada,-115.3092334,36.22303228
3,nevada,-115.2601823,36.2931519
4,nevada,-115.2601411,36.2931172
5,nevada,-115.2600768,36.2931309
6,nevada,-115.2601102,36.2931841
7,nevada,-115.2600422,36.2931936
8,nevada,-115.2599759,36.2932131
9,nevada,-115.2599396,36.2932535
10,nevada,-115.259926,36.293243
11,nevada,-115.106627,36.179241
12,nevada,-115.2598595,36.2933491
13,nevada,-115.259798,36.293337
14,nevada,-115.2597677,36.2933875
15,nevada,-115.25984,36.293394
16,nevada,-115.10669,36.179369
17,nevada,-115.2594306,36.2945042
18,nevada,-115.259437,36.294393
19,nevada,-115.1058076,36.179361
20,nevada,-115.2603881,36.2946882
21,nevada,-115.2603432,36.294545
22,nevada,-115.227987,36.20350106
23,nevada,-115.260418,36.294532
24,nevada,-115.2281058,36.20349481
25,nevada,-115.260472,36.294472
26,nevada,-115.260471,36.294399
27,nevada,-115.260502,36.294246
28,nevada,-115.2604831,36.2941616
29,nevada,-115.259598,36.294178
30,nevada,-115.3093171,36.22321989
31,nevada,-115.2603325,36.29509632
32,nevada,-115.2604976,36.29522614
33,nevada,-115.2605279,36.29513594
34,nevada,-115.26052,36.29506104
35,nevada,-115.30938,36.22310802
36,nevada,-115.2605233,36.29493112
37,nevada,-115.260274,36.295104
38,nevada,-115.2603146,36.2950323
39,nevada,-115.2604092,36.2949522
40,nevada,-115.2604283,36.2950453
41,nevada,-115.2604327,36.2950817
42,nevada,-115.2604454,36.2951623
43,nevada,-115.2603943,36.2952906
44,nevada,-115.2598365,36.29464
45,nevada,-115.259826,36.294681
46,nevada,-115.259851,36.294725
47,nevada,-115.2598643,36.2947611
48,nevada,-115.2598893,36.2948203
49,nevada,-115.259927,36.2949388
50,nevada,-115.2600362,36.294933
51,nevada,-115.2601061,36.2949432
52,nevada,-115.2601943,36.2949603
53,nevada,-115.2600901,36.2950482
54,nevada,-115.259899,36.294878
55,nevada,-115.259434,36.294356
56,nevada,-115.2594306,36.2945042
57,nevada,-115.259437,36.294393
58,nevada,-115.259434,36.294356
59,nevada,-115.251919,36.232291
60,nevada,-115.251936,36.232345
61,nevada,-115.3093372,36.22314816
62,nevada,-115.153085,36.19348923
63,nevada,-115.1540547,36.1937465
64,nevada,-115.154118,36.1936966
65,nevada,-115.1541948,36.193635
66,nevada,-115.1546557,36.19440696
67,nevada,-115.1544833,36.19391883
68,nevada,-115.1549706,36.1931592
69,nevada,-115.1553531,36.1933984
70,nevada,-115.1553859,36.1935112
71,nevada,-115.1553283,36.1932015
72,nevada,-115.155938,36.1931132
73,nevada,-115.155631,36.1936229
74,nevada,-115.1556228,36.1938596
75,nevada,-115.1552878,36.1942492
76,nevada,-115.15442,36.1945502
77,nevada,-115.1544578,36.1945014
78,nevada,-115.154467,36.1944404
79,nevada,-115.1535656,36.19392186
80,nevada,-115.1545977,36.19427018
81,nevada,-115.1545701,36.1942141
82,nevada,-115.1545329,36.19415435
83,nevada,-115.1544714,36.19395882
84,nevada,-115.1544779,36.19388822
85,nevada,-115.1544811,36.1935807
