,name,long,lat
0,other,-115.260232,36.2931653
1,other,-115.2602166,36.2931303
2,other,-115.3092334,36.22303228
3,other,-115.2601823,36.2931519
4,other,-115.2601411,36.2931172
5,other,-115.2600768,36.2931309
6,other,-115.2601102,36.2931841
7,other,-115.2600422,36.2931936
8,other,-115.2599759,36.2932131
9,other,-115.2599396,36.2932535
10,other,-115.259926,36.293243
11,other,-115.106627,36.179241
12,other,-115.2598595,36.2933491
13,other,-115.259798,36.293337
14,other,-115.2597677,36.2933875
15,other,-115.25984,36.293394
16,other,-115.10669,36.179369
17,other,-115.2594306,36.2945042
18,other,-115.259437,36.294393
19,other,-115.1058076,36.179361
20,other,-115.2603881,36.2946882
21,other,-115.2603432,36.294545
22,other,-115.227987,36.20350106
23,other,-115.260418,36.294532
24,other,-115.2281058,36.20349481
25,other,-115.260472,36.294472
26,other,-115.260471,36.294399
27,other,-115.260502,36.294246
28,other,-115.2604831,36.2941616
29,other,-115.259598,36.294178
30,other,-115.3093171,36.22321989
31,other,-115.2603325,36.29509632
32,other,-115.2604976,36.29522614
33,other,-115.2605279,36.29513594
34,other,-115.26052,36.29506104
35,other,-115.30938,36.22310802
36,other,-115.2605233,36.29493112
37,other,-115.260274,36.295104
38,other,-115.2603146,36.2950323
39,other,-115.2604092,36.2949522
40,other,-115.2604283,36.2950453
41,other,-115.2604327,36.2950817
42,other,-115.2604454,36.2951623
43,other,-115.2603943,36.2952906
44,other,-115.2598365,36.29464
45,other,-115.259826,36.294681
46,other,-115.259851,36.294725
47,other,-115.2598643,36.2947611
48,other,-115.2598893,36.2948203
49,other,-115.259927,36.2949388
50,other,-115.2600362,36.294933
51,other,-115.2601061,36.2949432
52,other,-115.2601943,36.2949603
53,other,-115.2600901,36.2950482
54,other,-115.259899,36.294878
55,other,-115.259434,36.294356
56,other,-115.2594306,36.2945042
57,other,-115.259437,36.294393
58,other,-115.259434,36.294356
59,other,-115.251919,36.232291
60,other,-115.251936,36.232345
61,other,-115.3093372,36.22314816
62,other,-115.153085,36.19348923
63,other,-115.1540547,36.1937465
64,other,-115.154118,36.1936966
65,other,-115.1541948,36.193635
66,other,-115.1546557,36.19440696
67,other,-115.1544833,36.19391883
68,other,-115.1549706,36.1931592
69,other,-115.1553531,36.1933984
70,other,-115.1553859,36.1935112
71,other,-115.1553283,36.1932015
72,other,-115.155938,36.1931132
73,other,-115.155631,36.1936229
74,other,-115.1556228,36.1938596
75,other,-115.1552878,36.1942492
76,other,-115.15442,36.1945502
77,other,-115.1544578,36.1945014
78,other,-115.154467,36.1944404
79,other,-115.1535656,36.19392186
80,other,-115.1545977,36.19427018
81,other,-115.1545701,36.1942141
82,other,-115.1545329,36.19415435
83,other,-115.1544714,36.19395882
84,other,-115.1544779,36.19388822
85,other,-115.1544811,36.1935807
86,other,-115.1544828,36.1934701
87,other,-115.1544802,36.1933865
88,other,-115.1545282,36.1932454
89,other,-115.1545762,36.1932105
90,other,-115.1546664,36.1931608
91,other,-115.1547697,36.1931501
92,other,-115.1548319,36.1931547
93,other,-115.1552782,36.1932813
94,other,-115.1553002,36.1933334
95,other,-115.1554011,36.1935792
96,other,-115.1554256,36.1936258
