name,long,lat
other,-115.260232,36.2931653
other,-115.2602166,36.2931303
other,-115.3092334,36.22303228
other,-115.2601823,36.2931519
other,-115.2601411,36.2931172
other,-115.2600768,36.2931309
other,-115.2601102,36.2931841
other,-115.2600422,36.2931936
other,-115.2599759,36.2932131
other,-115.2599396,36.2932535
other,-115.259926,36.293243
other,-115.106627,36.179241
other,-115.2598595,36.2933491
other,-115.259798,36.293337
other,-115.2597677,36.2933875
other,-115.25984,36.293394
other,-115.10669,36.179369
other,-115.2594306,36.2945042
other,-115.259437,36.294393
other,-115.1058076,36.179361
other,-115.2603881,36.2946882
other,-115.2603432,36.294545
other,-115.227987,36.20350106
other,-115.260418,36.294532
other,-115.2281058,36.20349481
other,-115.260472,36.294472
other,-115.260471,36.294399
other,-115.260502,36.294246
other,-115.2604831,36.2941616
other,-115.259598,36.294178
other,-115.3093171,36.22321989
other,-115.2603325,36.29509632
other,-115.2604976,36.29522614
other,-115.2605279,36.29513594
other,-115.26052,36.29506104
other,-115.30938,36.22310802
other,-115.2605233,36.29493112
other,-115.260274,36.295104
other,-115.2603146,36.2950323
other,-115.2604092,36.2949522
other,-115.2604283,36.2950453
other,-115.2604327,36.2950817
other,-115.2604454,36.2951623
other,-115.2603943,36.2952906
other,-115.2598365,36.29464
other,-115.259826,36.294681
other,-115.259851,36.294725
other,-115.2598643,36.2947611
other,-115.2598893,36.2948203
other,-115.259927,36.2949388
other,-115.2600362,36.294933
other,-115.2601061,36.2949432
other,-115.2601943,36.2949603
other,-115.2600901,36.2950482
other,-115.259899,36.294878
other,-115.259434,36.294356
other,-115.2594306,36.2945042
other,-115.259437,36.294393
other,-115.259434,36.294356
other,-115.251919,36.232291
other,-115.251936,36.232345
other,-115.3093372,36.22314816
other,-115.153085,36.19348923
other,-115.1540547,36.1937465
other,-115.154118,36.1936966
other,-115.1541948,36.193635
other,-115.1546557,36.19440696
other,-115.1544833,36.19391883
other,-115.1549706,36.1931592
other,-115.1553531,36.1933984
other,-115.1553859,36.1935112
other,-115.1553283,36.1932015
other,-115.155938,36.1931132
other,-115.155631,36.1936229
other,-115.1556228,36.1938596
other,-115.1552878,36.1942492
other,-115.15442,36.1945502
other,-115.1544578,36.1945014
other,-115.154467,36.1944404
other,-115.1535656,36.19392186
other,-115.1545977,36.19427018
other,-115.1545701,36.1942141
other,-115.1545329,36.19415435
other,-115.1544714,36.19395882
other,-115.1544779,36.19388822
other,-115.1544811,36.1935807
other,-115.1544828,36.1934701
other,-115.1544802,36.1933865
other,-115.1545282,36.1932454
other,-115.1545762,36.1932105
other,-115.1546664,36.1931608
other,-115.1547697,36.1931501
other,-115.1548319,36.1931547
other,-115.1552782,36.1932813
other,-115.1553002,36.1933334
other,-115.1554011,36.1935792
other,-115.1554256,36.1936258
other,-115.1552946,36.1931895
other,-115.1552701,36.1931491
other,-115.1553747,36.1931365
other,-115.1560229,36.1931643
other,-115.1560255,36.1932262
other,-115.1560494,36.1932378
other,-115.1560897,36.1934754
other,-115.1560928,36.1935708
other,-115.1560507,36.1935722
other,-115.1559552,36.1935459
other,-115.1559945,36.1936048
other,-115.156044,36.1936536
other,-115.1556553,36.1936621
other,-115.1556922,36.19371
other,-115.1557623,36.1937424
other,-115.1555701,36.1938494
other,-115.1555207,36.1938659
other,-115.1554593,36.1939688
other,-115.1554667,36.1939988
other,-115.1554567,36.1940342
other,-115.1554191,36.1940452
other,-115.155408,36.1939944
other,-115.1554385,36.1939217
other,-115.1557459,36.1938439
other,-115.1557289,36.193896
other,-115.1557193,36.19399
other,-115.1557161,36.194055
other,-115.1557114,36.1941
other,-115.1557072,36.1941895
other,-115.1555955,36.1941826
other,-115.1555127,36.1941272
other,-115.1554496,36.1941026
other,-115.1554442,36.19416
other,-115.1554807,36.1941813
other,-115.1554481,36.1941983
other,-115.155378,36.19419213
other,-115.155388,36.1942171
other,-115.1555127,36.1942447
other,-115.1555557,36.1943133
other,-115.1554547,36.1943549
other,-115.1553799,36.1942968
other,-115.1552613,36.1942812
other,-115.1552978,36.1943208
other,-115.15524,36.1943358
other,-115.1550713,36.1944318
other,-115.1550073,36.19443957
other,-115.252723,36.198919
other,-115.252547,36.199468
other,-115.1056588,36.18055672
other,-115.1053047,36.18047259
other,-115.1059921,36.18012677
other,-115.105353,36.1807399
other,-115.1053237,36.1806567
other,-115.1052257,36.1805836
other,-115.1052584,36.180181
other,-115.1051203,36.17832507
other,-115.1051791,36.17893722
other,-115.1057345,36.17861376
other,-115.106414,36.1786565
other,-115.1065856,36.1788797
other,-115.1065159,36.1789611
other,-115.10679,36.1792639
other,-115.106792,36.17972
other,-115.106557,36.179111
other,-115.103413,36.179403
other,-115.1035682,36.1777063
other,-115.1036887,36.1780701
other,-115.1037462,36.1785849
other,-115.1012548,36.17996173
other,-115.1006222,36.18033475
other,-115.1006161,36.18051843
other,-115.1017048,36.18035014
other,-115.1006471,36.18026103
other,-115.1001524,36.18076952
other,-115.1004502,36.1807867
other,-115.100584,36.18078096
other,-115.1008652,36.18080119
other,-115.101065,36.18019301
other,-115.100934,36.18004014
other,-115.10298,36.180661
other,-115.1021824,36.1799776
other,-115.10148,36.179804
other,-115.101047,36.179798
other,-115.1016412,36.1798069
other,-115.101236,36.180529
other,-115.101105,36.180331
other,-115.103018,36.179806
other,-115.10127,36.179856
other,-115.101367,36.179798
other,-115.100977,36.179792
other,-115.0984809,36.18013525
other,-115.0985832,36.1807469
other,-115.0986223,36.18074726
other,-115.0986748,36.18074934
