state,year,max
001,1895,32
001,1896,34
001,1897,34
001,1898,33
001,1899,33
001,1900,34
001,1901,35
001,1902,36
001,1903,33
001,1904,33
001,1905,33
001,1906,33
001,1907,33
001,1908,33
001,1909,33
001,1910,33
001,1911,34
001,1912,32
001,1913,34
001,1914,36
001,1915,33
001,1916,33
001,1917,32
001,1918,33
001,1919,32
001,1920,32
001,1921,34
001,1922,33
001,1923,32
001,1924,34
001,1925,36
001,1926,32
001,1927,33
001,1928,33
001,1929,34
001,1930,36
001,1931,34
001,1932,34
001,1933,33
001,1934,33
001,1935,33
001,1936,34
001,1937,33
001,1938,33
001,1939,33
001,1940,32
001,1941,32
001,1942,33
001,1943,34
001,1944,34
001,1945,32
001,1946,31
001,1947,33
001,1948,33
001,1949,32
001,1950,32
001,1951,35
001,1952,35
001,1953,33
001,1954,36
001,1955,33
001,1956,34
001,1957,33
001,1958,32
001,1959,33
001,1960,34
001,1961,32
001,1962,34
001,1963,33
001,1964,32
001,1965,32
001,1966,33
001,1967,31
001,1968,33
001,1969,33
001,1970,33
001,1971,32
001,1972,32
001,1973,32
001,1974,32
001,1975,31
001,1976,32
001,1977,34
001,1978,33
001,1979,32
001,1980,34
001,1981,34
001,1982,32
001,1983,34
001,1984,32
001,1985,32
001,1986,34
001,1987,33
001,1988,33
001,1989,32
001,1990,34
001,1991,32
001,1992,32
001,1993,34
001,1994,31
001,1995,33
001,1996,32
001,1997,32
001,1998,33
001,1999,34
001,2000,34
001,2001,32
001,2002,32
001,2003,32
001,2004,32
001,2005,32
001,2006,34
001,2007,36
001,2008,33
001,2009,32
001,2010,34
001,2011,34
001,2012,33
001,2013,31
001,2014,33
001,2015,33
001,2016,33
001,2017,32
001,2018,32
001,2019,34
001,2020,32
001,2021,32
001,2022,33
001,2023,34
002,1895,33
002,1896,34
002,1897,33
002,1898,34
002,1899,33
002,1900,35
002,1901,36
002,1902,34
002,1903,34
002,1904,33
002,1905,34
002,1906,34
002,1907,33
002,1908,34
002,1909,34
002,1910,34
002,1911,33
002,1912,32
002,1913,33
002,1914,33
002,1915,33
002,1916,33
002,1917,34
002,1918,34
002,1919,33
002,1920,34
002,1921,33
002,1922,34
002,1923,33
002,1924,34
002,1925,34
002,1926,34
002,1927,34
002,1928,34
002,1929,33
002,1930,33
002,1931,36
002,1932,33
