state,year,mean
001,1895,16
001,1896,18
001,1897,18
001,1898,17
001,1899,17
001,1900,17
001,1901,16
001,1902,17
001,1903,16
001,1904,17
001,1905,17
001,1906,17
001,1907,17
001,1908,18
001,1909,17
001,1910,17
001,1911,18
001,1912,17
001,1913,17
001,1914,17
001,1915,17
001,1916,17
001,1917,16
001,1918,17
001,1919,18
001,1920,17
001,1921,18
001,1922,18
001,1923,17
001,1924,17
001,1925,18
001,1926,17
001,1927,18
001,1928,17
001,1929,17
001,1930,17
001,1931,18
001,1932,18
001,1933,18
001,1934,17
001,1935,17
001,1936,17
001,1937,17
001,1938,18
001,1939,17
001,1940,16
001,1941,17
001,1942,17
001,1943,17
001,1944,17
001,1945,17
001,1946,18
001,1947,17
001,1948,17
001,1949,18
001,1950,17
001,1951,17
001,1952,17
001,1953,17
001,1954,18
001,1955,17
001,1956,17
001,1957,17
001,1958,16
001,1959,17
001,1960,16
001,1961,16
001,1962,17
001,1963,16
001,1964,17
001,1965,17
001,1966,16
001,1967,16
001,1968,16
001,1969,16
001,1970,17
001,1971,17
001,1972,17
001,1973,17
001,1974,17
001,1975,17
001,1976,16
001,1977,17
001,1978,16
001,1979,16
001,1980,17
001,1981,16
001,1982,17
001,1983,16
001,1984,17
001,1985,17
001,1986,18
001,1987,17
001,1988,17
001,1989,17
001,1990,18
001,1991,17
001,1992,17
001,1993,17
001,1994,17
001,1995,17
001,1996,17
001,1997,17
001,1998,18
001,1999,18
001,2000,17
001,2001,17
001,2002,17
001,2003,17
001,2004,17
001,2005,17
001,2006,18
001,2007,18
001,2008,17
001,2009,17
001,2010,17
001,2011,17
001,2012,18
001,2013,17
001,2014,17
001,2015,18
001,2016,18
001,2017,18
001,2018,18
001,2019,18
001,2020,18
001,2021,18
001,2022,18
001,2023,4
002,1895,14
002,1896,15
002,1897,14
002,1898,15
002,1899,15
002,1900,16
002,1901,15
002,1902,15
002,1903,14
002,1904,15
002,1905,14
002,1906,15
002,1907,15
002,1908,14
002,1909,14
002,1910,16
002,1911,14
002,1912,14
002,1913,14
002,1914,15
002,1915,14
002,1916,14
002,1917,14
002,1918,14
002,1919,14
002,1920,14
002,1921,15
002,1922,14
002,1923,14
002,1924,14
002,1925,15
002,1926,15
002,1927,15
002,1928,15
002,1929,14
002,1930,14
002,1931,15
002,1932,14
002,1933,14
002,1934,16
002,1935,15
002,1936,16
002,1937,15
002,1938,15
002,1939,15
002,1940,16
002,1941,14
002,1942,15
002,1943,16
002,1944,14
002,1945,14
002,1946,15
002,1947,15
002,1948,14
002,1949,14
002,1950,16
002,1951,14
002,1952,14
002,1953,15
002,1954,16
002,1955,14
002,1956,15
002,1957,15
002,1958,16
002,1959,16
002,1960,15
002,1961,15
002,1962,15
002,1963,15
002,1964,14
002,1965,14
002,1966,15
002,1967,15
002,1968,14
002,1969,15
002,1970,14
002,1971,14
002,1972,15
002,1973,14
002,1974,15
002,1975,14
002,1976,14
002,1977,16
002,1978,15
002,1979,14
002,1980,16
002,1981,16
002,1982,14
002,1983,15
002,1984,15
002,1985,15
002,1986,16
002,1987,15
002,1988,16
002,1989,16
002,1990,15
002,1991,15
002,1992,15
002,1993,15
002,1994,16
002,1995,16
002,1996,16
002,1997,16
002,1998,15
002,1999,16
002,2000,16
002,2001,16
002,2002,16
002,2003,16
002,2004,16
002,2005,16
002,2006,16
002,2007,16
002,2008,16
002,2009,16
002,2010,16
002,2011,16
002,2012,17
002,2013,16
002,2014,17
002,2015,16
002,2016,17
002,2017,17
002,2018,17
002,2019,16
002,2020,17
002,2021,17
002,2022,16
002,2023,2
003,1895,14
003,1896,17
003,1897,16
003,1898,16
003,1899,15
003,1900,16
003,1901,16
003,1902,15
003,1903,14
003,1904,15
003,1905,14
003,1906,15
003,1907,16
003,1908,16
