state,year,min
001,1895,-3
001,1896,1
001,1897,-1
001,1898,0
001,1899,-2
001,1900,-1
001,1901,-1
001,1902,-1
001,1903,-3
001,1904,-2
001,1905,-3
001,1906,0
001,1907,2
001,1908,0
001,1909,-2
001,1910,-1
001,1911,3
001,1912,-2
001,1913,2
001,1914,1
001,1915,-1
001,1916,1
001,1917,-2
001,1918,-3
001,1919,-1
001,1920,1
001,1921,3
001,1922,3
001,1923,2
001,1924,-2
001,1925,0
001,1926,1
001,1927,1
001,1928,-1
001,1929,0
001,1930,1
001,1931,0
001,1932,3
001,1933,3
001,1934,-1
001,1935,-2
001,1936,0
001,1937,1
001,1938,1
001,1939,2
001,1940,-6
001,1941,0
001,1942,-2
001,1943,1
001,1944,1
001,1945,-1
001,1946,2
001,1947,-3
001,1948,-3
001,1949,3
001,1950,-1
001,1951,1
001,1952,1
001,1953,1
001,1954,0
001,1955,1
001,1956,-1
001,1957,2
001,1958,-3
001,1959,-1
001,1960,-1
001,1961,-3
001,1962,-1
001,1963,-3
001,1964,-1
001,1965,1
001,1966,-1
001,1967,0
001,1968,-2
001,1969,-1
001,1970,-3
001,1971,1
001,1972,2
001,1973,0
001,1974,2
001,1975,1
001,1976,-2
001,1977,-5
001,1978,-3
001,1979,-3
001,1980,-1
001,1981,-3
001,1982,-1
001,1983,-1
001,1984,-2
001,1985,-4
001,1986,-1
001,1987,0
001,1988,-1
001,1989,-3
001,1990,3
001,1991,3
001,1992,1
001,1993,1
001,1994,-1
001,1995,1
001,1996,-1
001,1997,1
001,1998,3
001,1999,1
001,2000,-2
001,2001,-2
001,2002,1
001,2003,-2
001,2004,0
001,2005,-1
001,2006,1
001,2007,0
001,2008,0
001,2009,1
001,2010,-2
001,2011,-1
001,2012,3
001,2013,3
001,2014,-4
001,2015,-1
001,2016,0
001,2017,3
001,2018,-2
001,2019,2
001,2020,1
001,2021,2
001,2022,0
001,2023,-73
002,1895,-4
002,1896,-1
002,1897,-4
002,1898,-4
002,1899,-4
002,1900,-2
002,1901,-3
002,1902,-2
002,1903,-4
002,1904,-5
002,1905,-3
002,1906,-3
