,state,year,max,min,mean
0,arizona,1978,36,-3.0,15.0
1,arizona,1983,34,-1.0,15.0
2,arizona,1988,35,-2.0,16.0
3,arizona,1993,34,-2.0,15.0
4,arizona,1998,35,-2.0,15.0
5,arizona,2003,37,-2.0,16.0
6,arizona,2008,34,-2.0,16.0
7,arizona,2013,36,-4.0,16.0
8,arizona,2018,36,-1.0,17.0
9,arizona,2023,38,-2.0,17.0
10,california,1978,32,-2.0,14.0
11,california,1983,30,2.0,14.0
12,california,1988,33,0.0,14.0
13,california,1993,31,0.0,14.0
14,california,1998,33,-1.0,13.0
15,california,2003,34,2.0,15.0
16,california,2008,33,0.0,14.0
17,california,2013,33,-1.0,15.0
18,california,2018,34,1.0,16.0
19,california,2023,34,-1.0,15.0
20,colorado,1978,29,-14.0,7.0
21,colorado,1983,28,-13.0,7.0
22,colorado,1988,28,-14.0,7.0
23,colorado,1993,27,-11.0,6.0
24,colorado,1998,28,-11.0,8.0
25,colorado,2003,32,-10.0,8.0
26,colorado,2008,29,-13.0,7.0
27,colorado,2013,28,-13.0,7.0
28,colorado,2018,29,-10.0,8.0
29,colorado,2023,29,-11.0,9.0
30,florida,1978,32,4.0,21.0
31,florida,1983,33,7.0,21.0
32,florida,1988,32,7.0,21.0
33,florida,1993,33,7.0,21.0
34,florida,1998,35,9.0,22.0
35,florida,2003,32,4.0,21.0
36,florida,2008,33,8.0,21.0
37,florida,2013,32,8.0,22.0
38,florida,2018,33,7.0,22.0
39,florida,2023,34,9.0,24.0
40,iowa,1978,28,-18.0,7.0
41,iowa,1983,32,-18.0,8.0
42,iowa,1988,31,-15.0,9.0
43,iowa,1993,27,-13.0,7.0
44,iowa,1998,28,-9.0,10.0
45,iowa,2003,30,-13.0,8.0
46,iowa,2008,28,-14.0,7.0
47,iowa,2013,28,-13.0,8.0
48,iowa,2018,28,-13.0,8.0
49,iowa,2023,28,-9.0,12.0
50,kansas,1978,35,-13.0,11.0
51,kansas,1983,37,-14.0,12.0
52,kansas,1988,33,-10.0,12.0
53,kansas,1993,31,-9.0,11.0
54,kansas,1998,32,-6.0,13.0
55,kansas,2003,36,-7.0,12.0
56,kansas,2008,33,-8.0,12.0
57,kansas,2013,32,-9.0,12.0
58,kansas,2018,33,-9.0,12.0
59,kansas,2023,33,-6.0,15.0
60,kentucky,1978,31,-11.0,12.0
61,kentucky,1983,33,-7.0,13.0
62,kentucky,1988,32,-6.0,12.0
63,kentucky,1993,32,-5.0,13.0
64,kentucky,1998,31,-1.0,14.0
65,kentucky,2003,30,-7.0,13.0
66,kentucky,2008,30,-5.0,13.0
67,kentucky,2013,28,-3.0,13.0
68,kentucky,2018,31,-7.0,13.0
69,kentucky,2023,30,1.0,16.0
70,louisiana,1978,34,-1.0,18.0
71,louisiana,1983,33,1.0,18.0
72,louisiana,1988,33,1.0,18.0
73,louisiana,1993,34,4.0,18.0
74,louisiana,1998,35,6.0,20.0
75,louisiana,2003,33,1.0,19.0
76,louisiana,2008,34,3.0,19.0
77,louisiana,2013,33,4.0,19.0
78,louisiana,2018,34,1.0,19.0
79,louisiana,2023,37,8.0,22.0
80,maryland,1978,29,-9.0,11.0
81,maryland,1983,31,-4.0,12.0
82,maryland,1988,32,-8.0,12.0
83,maryland,1993,32,-6.0,12.0
84,maryland,1998,30,0.0,14.0
85,maryland,2003,29,-6.0,12.0
86,maryland,2008,30,-3.0,13.0
87,maryland,2013,30,-3.0,12.0
88,maryland,2018,30,-6.0,13.0
89,maryland,2023,31,0.0,16.0
90,massachusetts,1978,27,-13.0,7.0
91,massachusetts,1983,28,-8.0,9.0
92,massachusetts,1988,28,-12.0,8.0
93,massachusetts,1993,28,-12.0,8.0
94,massachusetts,1998,27,-5.0,10.0
95,massachusetts,2003,27,-12.0,8.0
96,massachusetts,2008,28,-8.0,9.0
97,massachusetts,2013,29,-8.0,9.0
98,massachusetts,2018,29,-9.0,9.0
99,massachusetts,2023,28,-6.0,12.0
100,michigan,1978,26,-17.0,6.0
101,michigan,1983,29,-13.0,7.0
102,michigan,1988,29,-14.0,7.0
103,michigan,1993,26,-13.0,6.0
104,michigan,1998,27,-8.0,9.0
105,michigan,2003,27,-14.0,6.0
106,michigan,2008,26,-13.0,7.0
107,michigan,2013,26,-11.0,7.0
108,michigan,2018,28,-11.0,7.0
109,michigan,2023,26,-8.0,9.0
110,missouri,1978,32,-12.0,11.0
111,missouri,1983,35,-12.0,12.0
112,missouri,1988,32,-8.0,12.0
113,missouri,1993,31,-6.0,11.0
114,missouri,1998,31,-3.0,14.0
115,missouri,2003,32,-8.0,12.0
116,missouri,2008,30,-7.0,12.0
