,state,year,mean
0,arizona,1978,15
1,arizona,1983,15
2,arizona,1988,16
3,arizona,1993,15
4,arizona,1998,15
5,arizona,2003,16
6,arizona,2008,16
7,arizona,2013,16
8,arizona,2018,17
9,arizona,2023,17
10,california,1978,14
11,california,1983,14
12,california,1988,14
13,california,1993,14
14,california,1998,13
15,california,2003,15
16,california,2008,14
17,california,2013,15
18,california,2018,16
19,california,2023,15
20,colorado,1978,7
21,colorado,1983,7
22,colorado,1988,7
23,colorado,1993,6
24,colorado,1998,8
25,colorado,2003,8
26,colorado,2008,7
27,colorado,2013,7
28,colorado,2018,8
29,colorado,2023,9
30,florida,1978,21
31,florida,1983,21
32,florida,1988,21
33,florida,1993,21
34,florida,1998,22
35,florida,2003,21
36,florida,2008,21
37,florida,2013,22
38,florida,2018,22
39,florida,2023,24
40,iowa,1978,7
41,iowa,1983,8
42,iowa,1988,9
43,iowa,1993,7
44,iowa,1998,10
45,iowa,2003,8
46,iowa,2008,7
47,iowa,2013,8
48,iowa,2018,8
49,iowa,2023,12
50,kansas,1978,11
51,kansas,1983,12
52,kansas,1988,12
53,kansas,1993,11
54,kansas,1998,13
55,kansas,2003,12
56,kansas,2008,12
57,kansas,2013,12
58,kansas,2018,12
59,kansas,2023,15
60,kentucky,1978,12
61,kentucky,1983,13
62,kentucky,1988,12
63,kentucky,1993,13
64,kentucky,1998,14
65,kentucky,2003,13
66,kentucky,2008,13
67,kentucky,2013,13
68,kentucky,2018,13
69,kentucky,2023,16
70,louisiana,1978,18
71,louisiana,1983,18
72,louisiana,1988,18
73,louisiana,1993,18
74,louisiana,1998,20
75,louisiana,2003,19
76,louisiana,2008,19
77,louisiana,2013,19
78,louisiana,2018,19
79,louisiana,2023,22
80,maryland,1978,11
81,maryland,1983,12
82,maryland,1988,12
83,maryland,1993,12
84,maryland,1998,14
85,maryland,2003,12
86,maryland,2008,13
87,maryland,2013,12
88,maryland,2018,13
89,maryland,2023,16
90,massachusetts,1978,7
91,massachusetts,1983,9
92,massachusetts,1988,8
93,massachusetts,1993,8
94,massachusetts,1998,10
95,massachusetts,2003,8
96,massachusetts,2008,9
97,massachusetts,2013,9
98,massachusetts,2018,9
99,massachusetts,2023,12
100,michigan,1978,6
101,michigan,1983,7
102,michigan,1988,7
103,michigan,1993,6
104,michigan,1998,9
105,michigan,2003,6
106,michigan,2008,7
107,michigan,2013,7
108,michigan,2018,7
109,michigan,2023,9
110,missouri,1978,11
111,missouri,1983,12
112,missouri,1988,12
113,missouri,1993,11
114,missouri,1998,14
115,missouri,2003,12
116,missouri,2008,12
117,missouri,2013,12
118,missouri,2018,13
