,state,year,min
0,arizona,1978,-3
1,arizona,1983,-1
2,arizona,1988,-2
3,arizona,1993,-2
4,arizona,1998,-2
5,arizona,2003,-2
6,arizona,2008,-2
7,arizona,2013,-4
8,arizona,2018,-1
9,arizona,2023,-2
10,california,1978,-2
11,california,1983,2
12,california,1988,0
13,california,1993,0
14,california,1998,-1
15,california,2003,2
16,california,2008,0
17,california,2013,-1
18,california,2018,1
19,california,2023,-1
20,colorado,1978,-14
21,colorado,1983,-13
22,colorado,1988,-14
23,colorado,1993,-11
24,colorado,1998,-11
25,colorado,2003,-10
26,colorado,2008,-13
27,colorado,2013,-13
28,colorado,2018,-10
29,colorado,2023,-11
30,florida,1978,4
31,florida,1983,7
32,florida,1988,7
33,florida,1993,7
34,florida,1998,9
35,florida,2003,4
36,florida,2008,8
37,florida,2013,8
38,florida,2018,7
39,florida,2023,9
40,iowa,1978,-18
41,iowa,1983,-18
42,iowa,1988,-15
43,iowa,1993,-13
44,iowa,1998,-9
45,iowa,2003,-13
46,iowa,2008,-14
47,iowa,2013,-13
48,iowa,2018,-13
49,iowa,2023,-9
50,kansas,1978,-13
51,kansas,1983,-14
52,kansas,1988,-10
53,kansas,1993,-9
54,kansas,1998,-6
55,kansas,2003,-7
56,kansas,2008,-8
57,kansas,2013,-9
58,kansas,2018,-9
59,kansas,2023,-6
60,kentucky,1978,-11
61,kentucky,1983,-7
62,kentucky,1988,-6
63,kentucky,1993,-5
64,kentucky,1998,-1
65,kentucky,2003,-7
66,kentucky,2008,-5
67,kentucky,2013,-3
68,kentucky,2018,-7
69,kentucky,2023,1
70,louisiana,1978,-1
71,louisiana,1983,1
72,louisiana,1988,1
73,louisiana,1993,4
74,louisiana,1998,6
75,louisiana,2003,1
76,louisiana,2008,3
77,louisiana,2013,4
78,louisiana,2018,1
79,louisiana,2023,8
80,maryland,1978,-9
81,maryland,1983,-4
82,maryland,1988,-8
83,maryland,1993,-6
84,maryland,1998,0
85,maryland,2003,-6
86,maryland,2008,-3
87,maryland,2013,-3
88,maryland,2018,-6
89,maryland,2023,0
90,massachusetts,1978,-13
91,massachusetts,1983,-8
92,massachusetts,1988,-12
93,massachusetts,1993,-12
94,massachusetts,1998,-5
95,massachusetts,2003,-12
96,massachusetts,2008,-8
97,massachusetts,2013,-8
98,massachusetts,2018,-9
99,massachusetts,2023,-6
100,michigan,1978,-17
101,michigan,1983,-13
102,michigan,1988,-14
103,michigan,1993,-13
104,michigan,1998,-8
105,michigan,2003,-14
106,michigan,2008,-13
107,michigan,2013,-11
108,michigan,2018,-11
109,michigan,2023,-8
110,missouri,1978,-12
111,missouri,1983,-12
112,missouri,1988,-8
113,missouri,1993,-6
114,missouri,1998,-3
115,missouri,2003,-8
116,missouri,2008,-7
117,missouri,2013,-7
118,missouri,2018,-8
119,missouri,2023,-2
120,nevada,1978,-9
121,nevada,1983,-4
122,nevada,1988,-8
123,nevada,1993,-8
124,nevada,1998,-8
125,nevada,2003,-6
126,nevada,2008,-8
127,nevada,2013,-10
128,nevada,2018,-6
129,nevada,2023,-7
130,new mexico,1978,-7
131,new mexico,1983,-7
132,new mexico,1988,-8
133,new mexico,1993,-7
134,new mexico,1998,-6
135,new mexico,2003,-6
136,new mexico,2008,-8
137,new mexico,2013,-8
138,new mexico,2018,-7
139,new mexico,2023,-6
140,new york,1978,-17
141,new york,1983,-10
142,new york,1988,-13
143,new york,1993,-16
144,new york,1998,-7
145,new york,2003,-14
146,new york,2008,-10
147,new york,2013,-9
148,new york,2018,-13
149,new york,2023,-8
150,north carolina,1978,-5
151,north carolina,1983,-2
152,north carolina,1988,-4
153,north carolina,1993,-2
154,north carolina,1998,1
155,north carolina,2003,-3
156,north carolina,2008,-2
157,north carolina,2013,-1
158,north carolina,2018,-4
159,north carolina,2023,2
160,ohio,1978,-15
161,ohio,1983,-8
162,ohio,1988,-9
163,ohio,1993,-8
164,ohio,1998,-2
165,ohio,2003,-10
166,ohio,2008,-7
167,ohio,2013,-6
168,ohio,2018,-9
169,ohio,2023,-3
170,oklahoma,1978,-9
171,oklahoma,1983,-9
172,oklahoma,1988,-6
173,oklahoma,1993,-3
174,oklahoma,1998,-2
175,oklahoma,2003,-4
176,oklahoma,2008,-4
177,oklahoma,2013,-5
178,oklahoma,2018,-5
179,oklahoma,2023,-2
180,oregon,1978,-8
181,oregon,1983,-6
182,oregon,1988,-6
183,oregon,1993,-8
184,oregon,1998,-6
185,oregon,2003,-4
186,oregon,2008,-7
187,oregon,2013,-7
188,oregon,2018,-4
189,oregon,2023,-6
190,pennsylvania,1978,-14
191,pennsylvania,1983,-8
192,pennsylvania,1988,-11
193,pennsylvania,1993,-11
194,pennsylvania,1998,-3
195,pennsylvania,2003,-11
196,pennsylvania,2008,-7
197,pennsylvania,2013,-7
198,pennsylvania,2018,-11
199,pennsylvania,2023,-4
200,south dakota,1978,-22
201,south dakota,1983,-21
202,south dakota,1988,-17
203,south dakota,1993,-17
204,south dakota,1998,-13
205,south dakota,2003,-14
206,south dakota,2008,-16
207,south dakota,2013,-17
208,south dakota,2018,-18
209,south dakota,2023,-12
210,tennessee,1978,-8
211,tennessee,1983,-4
212,tennessee,1988,-5
213,tennessee,1993,-3
214,tennessee,1998,1
215,tennessee,2003,-6
216,tennessee,2008,-3
217,tennessee,2013,-1
218,tennessee,2018,-6
219,tennessee,2023,2
220,texas,1978,-3
221,texas,1983,-3
222,texas,1988,-1
223,texas,1993,2
224,texas,1998,2
225,texas,2003,1
226,texas,2008,1
227,texas,2013,0
228,texas,2018,-2
229,texas,2023,3
230,virginia,1978,-8
231,virginia,1983,-4
232,virginia,1988,-7
233,virginia,1993,-4
234,virginia,1998,0
235,virginia,2003,-6
236,virginia,2008,-4
237,virginia,2013,-3
238,virginia,2018,-7
239,virginia,2023,1
240,washington,1978,-8
241,washington,1983,-8
242,washington,1988,-5
243,washington,1993,-8
244,washington,1998,-4
245,washington,2003,-4
246,washington,2008,-7
247,washington,2013,-6
248,washington,2018,-4
249,washington,2023,-4
250,wisconsin,1978,-19
251,wisconsin,1983,-18
252,wisconsin,1988,-18
253,wisconsin,1993,-15
254,wisconsin,1998,-11
255,wisconsin,2003,-17
256,wisconsin,2008,-17
257,wisconsin,2013,-16
258,wisconsin,2018,-15
259,wisconsin,2023,-12
