,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,arizona,1978,6.0,7.0,11.0,13.0,18.0,24.0,27.0,25.0,22.0,18.0,9.0,3.0
1,arizona,1983,6.0,7.0,9.0,11.0,18.0,22.0,26.0,25.0,23.0,16.0,9.0,7.0
2,arizona,1988,4.0,8.0,10.0,14.0,18.0,24.0,27.0,25.0,21.0,19.0,10.0,5.0
3,arizona,1993,6.0,7.0,11.0,14.0,19.0,23.0,26.0,25.0,22.0,16.0,8.0,5.0
4,arizona,1998,6.0,6.0,9.0,11.0,17.0,22.0,27.0,27.0,23.0,16.0,10.0,6.0
5,arizona,2003,9.0,7.0,10.0,13.0,20.0,24.0,28.0,27.0,23.0,19.0,9.0,6.0
6,arizona,2008,4.0,7.0,11.0,14.0,17.0,25.0,27.0,26.0,23.0,17.0,12.0,6.0
7,arizona,2013,3.0,6.0,12.0,15.0,19.0,26.0,27.0,26.0,22.0,14.0,11.0,5.0
8,arizona,2018,8.0,8.0,11.0,17.0,20.0,26.0,28.0,27.0,24.0,15.0,9.0,6.0
9,arizona,2023,4.0,5.0,8.0,14.0,19.0,22.0,29.0,27.0,23.0,18.0,,
10,california,1978,7.0,8.0,11.0,11.0,16.0,21.0,23.0,23.0,19.0,17.0,8.0,4.0
11,california,1983,7.0,8.0,9.0,9.0,16.0,19.0,22.0,23.0,22.0,16.0,9.0,7.0
12,california,1988,6.0,9.0,11.0,13.0,16.0,20.0,25.0,23.0,21.0,18.0,9.0,6.0
13,california,1993,5.0,7.0,11.0,13.0,17.0,20.0,22.0,23.0,21.0,16.0,9.0,6.0
14,california,1998,7.0,6.0,9.0,11.0,12.0,18.0,24.0,25.0,21.0,14.0,9.0,6.0
15,california,2003,10.0,7.0,11.0,10.0,17.0,22.0,26.0,24.0,22.0,18.0,8.0,7.0
16,california,2008,5.0,7.0,10.0,12.0,16.0,22.0,24.0,24.0,22.0,16.0,12.0,6.0
17,california,2013,6.0,7.0,12.0,14.0,17.0,22.0,26.0,23.0,21.0,14.0,11.0,7.0
18,california,2018,9.0,8.0,9.0,14.0,17.0,22.0,26.0,24.0,22.0,16.0,11.0,7.0
19,california,2023,6.0,6.0,7.0,13.0,17.0,19.0,26.0,24.0,20.0,17.0,,
20,colorado,1978,-5.0,-4.0,3.0,7.0,9.0,17.0,20.0,18.0,14.0,9.0,1.0,-8.0
21,colorado,1983,-3.0,-1.0,1.0,3.0,9.0,14.0,19.0,20.0,16.0,9.0,1.0,-8.0
22,colorado,1988,-7.0,-3.0,0.0,6.0,11.0,18.0,19.0,19.0,13.0,9.0,1.0,-4.0
23,colorado,1993,-5.0,-4.0,2.0,6.0,11.0,16.0,19.0,17.0,13.0,7.0,-2.0,-3.0
24,colorado,1998,-2.0,-2.0,1.0,5.0,12.0,15.0,21.0,19.0,17.0,8.0,3.0,-3.0
25,colorado,2003,-1.0,-3.0,2.0,7.0,12.0,16.0,22.0,20.0,13.0,11.0,1.0,-2.0
26,colorado,2008,-7.0,-3.0,1.0,4.0,11.0,16.0,21.0,18.0,14.0,8.0,3.0,-4.0
27,colorado,2013,-6.0,-4.0,2.0,4.0,11.0,18.0,20.0,19.0,16.0,7.0,2.0,-5.0
28,colorado,2018,-2.0,-2.0,3.0,7.0,14.0,19.0,21.0,19.0,16.0,7.0,0.0,-3.0
29,colorado,2023,-4.0,-4.0,-1.0,5.0,12.0,16.0,21.0,19.0,16.0,9.0,,
30,florida,1978,11.0,11.0,16.0,21.0,24.0,27.0,27.0,27.0,26.0,22.0,20.0,17.0
31,florida,1983,13.0,14.0,16.0,19.0,23.0,26.0,28.0,28.0,25.0,23.0,17.0,14.0
32,florida,1988,12.0,14.0,17.0,21.0,23.0,26.0,27.0,27.0,27.0,21.0,19.0,15.0
33,florida,1993,17.0,14.0,17.0,18.0,23.0,27.0,28.0,28.0,26.0,23.0,18.0,13.0
34,florida,1998,16.0,16.0,17.0,21.0,25.0,29.0,28.0,28.0,27.0,24.0,21.0,18.0
35,florida,2003,11.0,16.0,21.0,21.0,26.0,27.0,27.0,27.0,26.0,23.0,20.0,13.0
